shooting_type,age_group,race,sex,lat,lng
nonlethal,20-29,Black,Male,41.904318346,-87.772424654
lethal,20-29,Black,Male,41.825073096,-87.631200941
nonlethal,30-39,Black,Female,41.796228346,-87.625444654
nonlethal,40-49,Black,Male,41.872081654,-87.727994654
nonlethal,60-69,Hispanic,Male,41.786313096,-87.696820941
nonlethal,20-29,Black,Female,41.731718346,-87.554635346
lethal,20-29,Black,Male,41.758743096,-87.617490941
lethal,30-39,Black,Male,41.758743096,-87.617490941
lethal,20-29,Black,Male,41.758743096,-87.617490941
lethal,40-49,Black,Male,41.758743096,-87.617490941
lethal,40-49,Black,Male,41.758743096,-87.617490941
nonlethal,20-29,Hispanic,Female,41.9034805,-87.70697
nonlethal,30-39,White,Female,41.888656904,-87.644459059
nonlethal,40-49,White,Male,41.888656904,-87.644459059
nonlethal,20-29,White,Male,41.888656904,-87.644459059
nonlethal,20-29,Other,Male,41.888656904,-87.644459059
nonlethal,20-29,Hispanic,Male,41.879688346,-87.632734654
nonlethal,20-29,Other,Male,41.912762347,-87.632132174
nonlethal,40-49,Hispanic,Male,41.912762347,-87.632132174
nonlethal,20-29,Black,Male,41.912762347,-87.632132174
nonlethal,50-59,Hispanic,Male,41.912762347,-87.632132174
nonlethal,20-29,Black,Female,41.912762347,-87.632132174
nonlethal,0-19,Black,Female,41.7730805,-87.67512
lethal,30-39,Black,Male,41.780621654,-87.649094654
lethal,20-29,Black,Female,41.780621654,-87.649094654
lethal,0-19,Black,Female,41.683376904,-87.614500941
lethal,30-39,Black,Male,41.683376904,-87.614500941
lethal,30-39,Black,Male,41.683376904,-87.614500941
nonlethal,20-29,Black,Female,41.753543096,-87.555400941
nonlethal,20-29,Black,Male,41.751526904,-87.553289059
lethal,30-39,Black,Male,41.683118346,-87.669005346
lethal,30-39,Hispanic,Male,41.995983096,-87.713139059
lethal,20-29,Black,Male,41.995983096,-87.713139059
nonlethal,40-49,Other,Male,41.894649669,-87.636188547
nonlethal,20-29,Black,Female,41.879379669,-87.679618547
nonlethal,30-39,Black,Female,41.879379669,-87.679618547
nonlethal,20-29,Black,Male,41.879379669,-87.679618547
nonlethal,20-29,Black,Male,41.879379669,-87.679618547
lethal,20-29,Black,Male,41.873688346,-87.735515346
nonlethal,30-39,Black,Female,41.885020979,-87.658297097
nonlethal,30-39,Black,Male,41.885020979,-87.658297097
nonlethal,20-29,Black,Male,41.885020979,-87.658297097
lethal,20-29,Other,Male,41.968473096,-87.767899059
lethal,20-29,White,Male,41.968473096,-87.767899059
nonlethal,20-29,White,Female,41.927058992,-87.798661557
nonlethal,30-39,Hispanic,Male,41.866826904,-87.626179059
lethal,20-29,Black,Male,41.862536904,-87.709300941
lethal,0-19,Black,Male,41.872076904,-87.713760941
lethal,0-19,Hispanic,Male,41.842018346,-87.713795346
lethal,20-29,Black,Male,41.862536904,-87.709300941
lethal,20-29,Black,Male,41.862536904,-87.709300941
lethal,0-19,Black,Male,41.744846904,-87.602709059
lethal,30-39,Hispanic,Male,41.713833096,-87.537280941
lethal,30-39,Black,Male,41.872409669,-87.695758547
lethal,0-19,Hispanic,Male,41.901313096,-87.734689059
lethal,20-29,Black,Female,41.743993096,-87.645850941
lethal,20-29,Black,Male,41.714478795,-87.640976783
lethal,20-29,Black,Male,41.751698346,-87.653764654
lethal,30-39,Hispanic,Male,41.847516904,-87.707159059
lethal,40-49,Black,Male,41.787906904,-87.652419059
lethal,20-29,Hispanic,Male,41.933389669,-87.692788547
lethal,0-19,Black,Male,41.879113096,-87.742340941
lethal,20-29,Black,Male,41.757911654,-87.624615346
lethal,20-29,Black,Male,41.901418346,-87.720745346
lethal,30-39,Black,Male,41.798486904,-87.660269059
lethal,40-49,Hispanic,Male,41.810981654,-87.668394654
lethal,30-39,Hispanic,Male,41.85085033,-87.680183856
lethal,30-39,Black,Male,41.677499669,-87.623868547
lethal,20-29,Black,Male,41.880728346,-87.728405346
lethal,20-29,Hispanic,Male,41.850718346,-87.701244654
lethal,20-29,Hispanic,Male,41.837643096,-87.695439059
lethal,40-49,Black,Male,41.784011654,-87.671324654
lethal,30-39,White,Male,41.765186904,-87.622559059
lethal,30-39,Black,Male,41.8788805,-87.71045
lethal,20-29,Black,Male,41.8741805,-87.69651
lethal,20-29,Hispanic,Male,41.855213096,-87.682490941
lethal,0-19,Black,Male,41.825658346,-87.607955346
lethal,20-29,Hispanic,Male,41.788433096,-87.718139059
lethal,30-39,Other,Male,41.855198346,-87.633135346
lethal,30-39,Other,Male,41.855198346,-87.633135346
lethal,30-39,Hispanic,Male,41.907023096,-87.692169059
lethal,30-39,Black,Male,41.763253096,-87.579170941
lethal,20-29,Black,Male,41.880616904,-87.703170941
lethal,20-29,Black,Male,41.714333096,-87.623530941
lethal,0-19,Black,Male,41.748131654,-87.666395346
lethal,20-29,Black,Male,41.883351654,-87.764394654
lethal,30-39,Hispanic,Male,41.937936904,-87.786489059
lethal,40-49,Black,Male,41.803351654,-87.643464654
lethal,20-29,Black,Male,41.879523096,-87.627580941
lethal,30-39,Black,Male,41.823748346,-87.622614654
lethal,20-29,Black,Male,41.874449669,-87.699678547
lethal,20-29,Hispanic,Male,41.874131654,-87.736544654
lethal,40-49,Black,Male,41.790416904,-87.625309059
lethal,20-29,Black,Male,41.893743096,-87.704840941
lethal,20-29,Black,Female,41.962199669,-87.700638547
lethal,0-19,Black,Female,41.751799669,-87.593978547
lethal,40-49,Black,Male,41.899133096,-87.765949059
lethal,0-19,Black,Male,41.770349669,-87.588968547
lethal,30-39,Black,Female,41.743301654,-87.627494654
lethal,20-29,Black,Male,41.808318346,-87.608055346
lethal,30-39,Black,Male,41.898736904,-87.723879059
lethal,30-39,Black,Male,41.878388346,-87.741134654
lethal,40-49,Black,Male,41.901606904,-87.726409059
lethal,0-19,Hispanic,Male,41.9071205,-87.71658
lethal,0-19,Black,Male,41.794269669,-87.654848547
lethal,0-19,Black,Male,41.745113096,-87.603360941
lethal,40-49,Hispanic,Male,41.838016904,-87.726700941
lethal,20-29,Black,Male,41.913946904,-87.782339059
lethal,30-39,Black,Male,41.8362805,-87.66095
lethal,30-39,Black,Male,41.757766904,-87.634070941
lethal,20-29,Hispanic,Female,41.846428346,-87.703294654
lethal,20-29,Black,Male,41.880046904,-87.731900941
lethal,0-19,Black,Male,41.738478346,-87.649184654
lethal,30-39,Hispanic,Male,41.908641654,-87.708844654
lethal,20-29,Black,Male,41.769651654,-87.583805346
lethal,20-29,Hispanic,Male,41.819483096,-87.699340941
lethal,30-39,Black,Male,41.889658346,-87.764604654
lethal,20-29,Black,Male,41.851536904,-87.714890941
lethal,20-29,Black,Male,41.854251654,-87.718135346
lethal,20-29,Black,Male,41.713981545,-87.560612609
lethal,20-29,Black,Male,41.871409669,-87.744628547
lethal,50-59,Black,Male,41.884986904,-87.744739059
lethal,40-49,Black,Male,41.766538346,-87.569204654
lethal,20-29,Black,Male,41.751758346,-87.655955346
lethal,30-39,Black,Male,41.736651654,-87.672524654
lethal,20-29,White,Female,41.925469669,-87.700128547
lethal,0-19,Black,Male,41.749043096,-87.650169059
lethal,0-19,Hispanic,Male,41.8847805,-87.72566
lethal,50-59,Black,Male,41.871858346,-87.735085346
lethal,20-29,Black,Male,41.904213096,-87.773650941
lethal,20-29,Black,Male,41.793163096,-87.664130941
lethal,20-29,Black,Male,41.748211654,-87.552405346
lethal,40-49,White,Male,41.984049669,-87.695298547
lethal,30-39,Black,Male,41.875516904,-87.711259059
lethal,0-19,Hispanic,Male,41.839753096,-87.728860941
lethal,20-29,Black,Female,41.768133096,-87.574019059
lethal,20-29,Black,Male,41.7403305,-87.67306
lethal,20-29,Black,Male,41.675141654,-87.635524654
lethal,20-29,Black,Female,41.7940605,-87.66111
lethal,20-29,Black,Male,41.896963096,-87.771260941
lethal,20-29,Black,Male,41.701751654,-87.562295346
lethal,20-29,Black,Male,41.871266904,-87.706699059
lethal,30-39,Black,Male,41.655403096,-87.609380941
lethal,20-29,Black,Male,41.795419669,-87.620138547
lethal,20-29,Black,Male,41.911623096,-87.780749059
lethal,20-29,Black,Male,41.970971654,-87.660514654
lethal,30-39,Black,Male,41.741738346,-87.665064654
lethal,50-59,Black,Male,41.763016904,-87.629329059
lethal,30-39,Black,Male,41.784763096,-87.597489059
lethal,30-39,Black,Male,41.783018346,-87.671284654
lethal,20-29,Black,Male,41.726171654,-87.634594654
lethal,30-39,Hispanic,Male,41.797126904,-87.702579059
lethal,20-29,Black,Male,41.739863096,-87.647779059
lethal,30-39,Hispanic,Male,41.810158346,-87.666805346
lethal,20-29,Black,Male,41.793803096,-87.621229059
lethal,20-29,Black,Male,42.020576904,-87.673289059
lethal,0-19,Hispanic,Male,41.763789669,-87.695148547
lethal,40-49,Black,Male,41.875476904,-87.732840941
lethal,20-29,Black,Male,41.751221654,-87.603334654
lethal,20-29,Black,Male,41.689031654,-87.657114654
lethal,30-39,Black,Male,41.870003096,-87.643610941
lethal,20-29,Black,Male,41.892288346,-87.708604654
lethal,20-29,Black,Male,41.674603096,-87.623620941
lethal,0-19,Black,Male,41.878378916,-87.713494316
lethal,20-29,Black,Male,41.914006904,-87.763929059
lethal,20-29,White,Male,41.833221654,-87.648885346
lethal,20-29,Black,Male,41.794403096,-87.728209059
lethal,50-59,Black,Male,41.722623096,-87.624930941
lethal,20-29,Black,Male,41.737326904,-87.643789059
lethal,20-29,Black,Male,41.776043096,-87.671809059
lethal,30-39,Black,Male,41.801983096,-87.645469059
lethal,0-19,Black,Male,41.697739669,-87.630838547
lethal,20-29,Black,Male,41.877541654,-87.737345346
lethal,30-39,Black,Male,41.691631932,-87.612148045
lethal,20-29,Black,Male,41.743501654,-87.601665346
lethal,30-39,Black,Male,41.879106904,-87.753110941
lethal,30-39,Black,Male,41.894953096,-87.759739059
lethal,0-19,Black,Male,41.884843096,-87.758460941
lethal,30-39,Black,Male,41.751993096,-87.614850941
lethal,40-49,Black,Male,41.791611654,-87.667245346
lethal,20-29,Black,Male,41.784886904,-87.662720941
lethal,30-39,Black,Male,41.8663805,-87.72334
lethal,30-39,Black,Male,41.716566904,-87.655909059
lethal,20-29,Hispanic,Male,41.910403096,-87.713900941
lethal,30-39,Black,Male,41.752503096,-87.601150941
lethal,20-29,Black,Male,41.901139669,-87.714978547
lethal,20-29,Black,Male,41.703211654,-87.624925346
lethal,30-39,Black,Male,41.707418346,-87.611544654
lethal,40-49,Black,Male,41.878636904,-87.698039059
lethal,0-19,Black,Male,41.881883096,-87.720660941
lethal,20-29,Black,Female,41.737649669,-87.563648547
lethal,0-19,Black,Female,41.737649669,-87.563648547
lethal,20-29,Black,Male,41.766790034,-87.654695946
lethal,20-29,Black,Female,41.747006904,-87.595270941
lethal,20-29,Black,Male,41.685371654,-87.610424654
lethal,30-39,Black,Male,41.894746904,-87.758930941
lethal,20-29,Hispanic,Male,41.778436904,-87.698409059
lethal,20-29,Hispanic,Male,41.890393096,-87.632199059
lethal,30-39,Black,Male,41.770508346,-87.661825346
lethal,20-29,Black,Male,41.903693096,-87.774309059
lethal,20-29,Black,Male,41.857681654,-87.638364654
lethal,20-29,Black,Male,41.898249669,-87.624118547
lethal,30-39,Black,Male,41.746326904,-87.644339059
lethal,30-39,Black,Male,41.880451654,-87.723454654
lethal,30-39,Black,Male,41.722973096,-87.583439059
lethal,30-39,Black,Male,41.722973096,-87.583439059
lethal,30-39,Black,Male,41.740766904,-87.702579059
lethal,0-19,Black,Female,41.786329669,-87.650728547
lethal,20-29,Black,Male,41.764376904,-87.628619059
lethal,20-29,Black,Male,41.809686904,-87.666349059
lethal,20-29,Black,Male,41.725386904,-87.600060941
lethal,0-19,Hispanic,Male,41.810156904,-87.665439059
lethal,20-29,Black,Male,41.880016904,-87.753049059
lethal,20-29,Black,Male,41.895461654,-87.707284654
lethal,0-19,Black,Female,41.875488346,-87.732145346
lethal,30-39,Black,Male,41.751979669,-87.604488547
lethal,20-29,Black,Male,41.778398346,-87.633104654
lethal,50-59,White,Male,41.901701654,-87.695424654
lethal,20-29,Hispanic,Male,41.843259669,-87.729378547
lethal,20-29,Black,Male,41.768383096,-87.574239059
lethal,20-29,Black,Male,41.852051654,-87.678975346
lethal,20-29,Black,Male,41.7740905,-87.64602
lethal,20-29,Black,Male,41.755258346,-87.641424654
lethal,30-39,Black,Female,41.704413096,-87.634709059
lethal,20-29,Black,Female,41.739801654,-87.555415346
lethal,30-39,Black,Male,41.669953096,-87.636939059
lethal,30-39,Black,Male,41.770178346,-87.643775346
lethal,40-49,Black,Male,41.740209083,-87.576606677
lethal,30-39,Black,Male,41.780328346,-87.682074654
lethal,30-39,Black,Male,41.907488346,-87.639975346
lethal,20-29,Black,Male,41.8538505,-87.71138
lethal,0-19,Black,Male,41.765198346,-87.649815346
lethal,30-39,Black,Male,41.859293096,-87.709910941
lethal,60-69,Black,Male,41.728448346,-87.559575346
lethal,40-49,Black,Male,41.728448346,-87.559575346
lethal,30-39,Black,Male,41.728161654,-87.589455346
lethal,0-19,Black,Male,41.877858346,-87.688184654
lethal,40-49,Black,Male,41.687706904,-87.627899059
lethal,50-59,Black,Male,42.020203096,-87.672329059
lethal,30-39,Black,Male,41.874871654,-87.732594654
lethal,20-29,Black,Male,41.780681654,-87.683104654
lethal,20-29,Black,Male,41.734008346,-87.619595346
lethal,30-39,Black,Male,41.776013096,-87.615919059
lethal,20-29,Black,Male,41.876801654,-87.724795346
lethal,20-29,Black,Male,41.754553096,-87.646430941
lethal,20-29,Black,Male,41.779549669,-87.615598547
lethal,50-59,Black,Male,41.750716904,-87.602360941
lethal,30-39,Black,Male,41.875958346,-87.745755346
lethal,30-39,Black,Male,41.874658346,-87.724694654
lethal,40-49,Black,Male,41.866533096,-87.700319059
lethal,20-29,Hispanic,Male,41.841073096,-87.711830941
lethal,0-19,Black,Female,41.898446904,-87.752830941
lethal,40-49,Hispanic,Male,41.905088346,-87.692354654
lethal,40-49,Hispanic,Male,41.793368346,-87.692274654
lethal,20-29,Black,Male,41.8950205,-87.72349
lethal,20-29,White,Male,41.995081654,-87.708645346
lethal,30-39,Black,Male,41.878812872,-87.694280324
lethal,20-29,Black,Male,41.860856904,-87.694280941
lethal,20-29,Black,Female,41.793068346,-87.616815346
lethal,20-29,Hispanic,Male,41.787788346,-87.688164654
lethal,20-29,Black,Male,41.747586904,-87.633810941
lethal,0-19,Black,Male,41.899438346,-87.713495346
lethal,20-29,Black,Male,41.741671654,-87.648935346
lethal,40-49,Black,Male,41.884636904,-87.752670941
lethal,30-39,Black,Male,41.790251654,-87.653635346
lethal,20-29,Black,Male,41.864583096,-87.723089059
lethal,0-19,Black,Male,41.782839669,-87.644858547
lethal,20-29,Black,Male,41.755656904,-87.564980941
lethal,30-39,Hispanic,Male,41.812416904,-87.704579059
lethal,0-19,Hispanic,Female,41.919428346,-87.715405346
lethal,20-29,Black,Male,41.837261654,-87.613184654
lethal,20-29,Black,Male,41.837261654,-87.613184654
lethal,20-29,Black,Male,41.904718346,-87.772734654
lethal,0-19,Black,Male,41.746248346,-87.553714654
lethal,30-39,Black,Male,42.009011654,-87.667164654
lethal,30-39,Hispanic,Male,41.846399669,-87.703558547
lethal,30-39,Black,Male,41.769648346,-87.648735346
lethal,20-29,Black,Male,41.674159669,-87.620388547
lethal,20-29,Black,Male,41.884451654,-87.737814654
lethal,20-29,Black,Male,41.897581654,-87.716975346
lethal,20-29,Hispanic,Male,41.812814104,-87.700760196
lethal,30-39,Hispanic,Female,41.993059669,-87.782348547
lethal,50-59,Hispanic,Male,41.843921654,-87.727375346
