shooting_type,age_group,race,sex,lat,lng
nonlethal,20,POC,Male,34.0215,-118.3393
nonlethal,35,POC,Male,34.0408,-118.2428
nonlethal,35,POC,Male,34.0594,-118.2833
nonlethal,20,POC,Male,34.0836,-118.2856
nonlethal,25,POC,Male,34.0636,-118.2805
nonlethal,45,POC,Male,34.0693,-118.2
nonlethal,35,POC,Male,34.0469,-118.2032
nonlethal,45,POC,Male,34.0474,-118.2217
nonlethal,20,POC,Male,34.0189,-118.1922
nonlethal,25,POC,Male,34.0245,-118.2112
nonlethal,30,POC,Male,34.0188,-118.2052
nonlethal,20,POC,Male,33.7935,-118.2607
nonlethal,55,POC,Male,34.0877,-118.2869
nonlethal,35,White,Male,33.7388,-118.2901
nonlethal,35,POC,Male,34.0877,-118.2869
nonlethal,35,POC,Male,33.819,-118.3063
lethal,30,POC,Male,33.7799,-118.2637
nonlethal,25,POC,Male,34.0188,-118.2028
nonlethal,25,POC,Male,34.058,-118.2759
nonlethal,18,POC,Male,34.0035,-118.3565
lethal,25,POC,Male,34.0545,-118.1992
nonlethal,25,POC,Male,34.0751,-118.2717
nonlethal,18,POC,Male,34.0822,-118.2832
nonlethal,25,POC,Male,34.0649,-118.2797
nonlethal,20,POC,Male,34.0822,-118.2832
lethal,45,POC,Male,34.0446,-118.245
nonlethal,35,POC,Male,34.0819,-118.2204
lethal,35,POC,Male,34.1106,-118.1794
nonlethal,30,POC,Male,34.0768,-118.2227
nonlethal,20,POC,Male,34.024,-118.2192
nonlethal,45,POC,Male,34.0445,-118.2025
nonlethal,30,POC,Male,34.0909,-118.2928
nonlethal,25,POC,Male,34.0309,-118.3002
lethal,20,POC,Male,34.0183,-118.311
nonlethal,18,POC,Female,34.0103,-118.3034
nonlethal,20,POC,Male,34.0489,-118.1944
nonlethal,30,POC,Male,34.0046,-118.2872
nonlethal,35,POC,Male,34.0634,-118.263
lethal,35,POC,Male,34.0099,-118.3089
nonlethal,45,White,Male,34.0606,-118.2477
nonlethal,25,White,Male,34.0462,-118.2585
nonlethal,35,POC,Male,34.0116,-118.3412
nonlethal,35,POC,Male,34.0606,-118.2477
