shooting_type,age_group,race,sex,lat,lng
nonlethal,18-24,Black,Male,40.6813182000001,-73.956508991
nonlethal,25-44,Other,Male,40.6363638410001,-74.00866669
nonlethal,25-44,Black,Male,40.6811449590001,-73.9556690379999
nonlethal,25-44,Black,Male,40.695791716,-73.939095905
nonlethal,25-44,Black,Male,40.6737401760001,-73.7604106699999
lethal,25-44,Black,Male,40.706178569,-73.758061474
lethal,18-24,Black,Male,40.8337636540001,-73.908795177
nonlethal,25-44,Black,Male,40.869407492,-73.879998313
nonlethal,25-44,Hispanic,Male,40.8657226810001,-73.923440887
lethal,25-44,Hispanic,Male,40.6822568150001,-73.869331114
nonlethal,25-44,Black,Male,40.8117981950001,-73.949989851
nonlethal,18-24,Black,Male,40.81354743,-73.9590995299999
lethal,25-44,Hispanic,Male,40.825562694,-73.890187287
nonlethal,18-24,Black,Male,40.6615621500001,-73.925945955
nonlethal,18-24,Black,Male,40.8326766120001,-73.859481219
nonlethal,0-17,Black,Male,40.6286239340001,-73.9206542599999
nonlethal,18-24,Black,Male,40.8458968470001,-73.883145465
lethal,25-44,Black,Female,40.8641406480001,-73.891313038
nonlethal,18-24,Black,Male,40.6411990940001,-73.897920648
nonlethal,18-24,Other,Male,40.8142676480001,-73.948185286
nonlethal,18-24,Hispanic,Male,40.8679021340001,-73.895638333
nonlethal,25-44,Black,Female,40.8641406480001,-73.891313038
nonlethal,0-17,Hispanic,Male,40.853506962,-73.882203096
nonlethal,25-44,Black,Male,40.6683495660001,-73.906516063
nonlethal,18-24,Black,Male,40.8039318790001,-73.950140244
lethal,18-24,Black,Female,40.7608500490001,-73.829253066
nonlethal,0-17,Black,Male,40.7180121920001,-73.9865854239999
nonlethal,25-44,Black,Male,40.813935836,-73.908829574
nonlethal,18-24,Hispanic,Male,40.83755445,-73.86682523
nonlethal,18-24,Black,Male,40.6826044160001,-73.936472319
lethal,25-44,Hispanic,Male,40.8674588180001,-73.925716676
nonlethal,25-44,Black,Male,40.8400131330001,-73.898652827
nonlethal,0-17,Black,Male,40.8047655790001,-73.955124358
nonlethal,18-24,Black,Male,40.751646125,-73.9843373099999
nonlethal,25-44,Black,Male,40.5919297180001,-73.798085913
lethal,18-24,Black,Male,40.8163239900001,-73.938154671
nonlethal,0-17,Hispanic,Male,40.6333595200001,-74.1169608399999
nonlethal,25-44,Black,Male,40.8225245680001,-73.91674855
lethal,0-17,Black,Male,40.8234238690001,-73.901583061
nonlethal,18-24,Black,Male,40.673456114,-73.761082226
lethal,25-44,Black,Female,40.8374989810001,-73.92785342
lethal,25-44,Black,Male,40.6474402310001,-73.958790537
lethal,18-24,Hispanic,Female,40.877788706,-73.8738322
