shooting_type,age_group,race,sex,lat,lng
nonlethal,30,POC,Male,39.99163642,-75.16005827
nonlethal,25,POC,Male,39.98646246,-75.18018792
nonlethal,35,POC,Male,39.99000571,-75.18511732
nonlethal,25,POC,Male,39.99545299,-75.17895604
nonlethal,35,POC,Male,39.99545299,-75.17895604
nonlethal,45,POC,Male,39.98296262,-75.18497241
nonlethal,25,POC,Male,39.98200977,-75.1837615
nonlethal,25,POC,Male,39.98852579,-75.16097579
nonlethal,25,POC,Male,39.98852579,-75.16097579
lethal,65,POC,Male,39.98615105,-75.16733466
lethal,35,POC,Male,39.99018808,-75.1693633
nonlethal,15,POC,Female,39.99108894,-75.15027348
nonlethal,20,White,Female,39.97948925,-75.16441503
nonlethal,35,POC,Male,39.96970206,-75.15530693
lethal,30,POC,Male,39.98592965,-75.18595104
nonlethal,20,POC,Male,39.98839597,-75.1529544
nonlethal,55,POC,Male,39.99147247,-75.16007417
lethal,20,POC,Male,39.98661588,-75.17160137
nonlethal,25,POC,Male,39.98661588,-75.17160137
lethal,25,POC,Female,39.98401588,-75.17506967
nonlethal,25,POC,Male,39.98672321,-75.16944966
nonlethal,25,POC,Male,39.98978609,-75.15900654
nonlethal,20,POC,Male,39.98256558,-75.15198541
nonlethal,25,POC,Male,39.98256558,-75.15198541
nonlethal,30,POC,Male,39.98709605,-75.16159897
lethal,30,POC,Male,39.98644934,-75.18479116
nonlethal,35,POC,Female,39.98644934,-75.18479116
nonlethal,25,POC,Male,39.9914782,-75.16387594
nonlethal,30,POC,Male,39.98155429,-75.18041571
lethal,15,POC,Male,39.99456036,-75.16782675
lethal,18,POC,Male,39.99417604,-75.1811649
nonlethal,20,POC,Male,39.99417604,-75.1811649
lethal,35,POC,Male,39.98372552,-75.15397951
nonlethal,20,POC,Male,39.99417604,-75.1811649
nonlethal,20,POC,Male,39.99417604,-75.1811649
nonlethal,15,POC,Male,39.99417604,-75.1811649
nonlethal,18,POC,Male,39.98477162,-75.17821495
lethal,45,POC,Male,39.98329969,-75.17252933
nonlethal,65,POC,Female,39.98329969,-75.17252933
lethal,35,POC,Female,39.97733053,-75.18016333
nonlethal,35,POC,Male,39.97733053,-75.18016333
nonlethal,15,POC,Male,39.99124558,-75.16328508
nonlethal,25,POC,Male,39.99124558,-75.16328508
nonlethal,45,POC,Male,39.99306781,-75.15485914
nonlethal,20,POC,Male,39.99730317,-75.18112584
nonlethal,18,POC,Male,39.97979329,-75.16093264
nonlethal,20,White,Male,39.98582141,-75.15250303
nonlethal,18,POC,Male,39.98441216,-75.17822881
nonlethal,30,POC,Male,39.99186294,-75.17007071
nonlethal,25,POC,Female,39.99186294,-75.17007071
nonlethal,45,POC,Male,39.99423052,-75.16967547
nonlethal,20,POC,Male,39.98907162,-75.15422327
nonlethal,35,POC,Male,39.98690697,-75.16061569
nonlethal,15,POC,Male,39.98690697,-75.16061569
nonlethal,35,POC,Male,39.98797894,-75.16845074
nonlethal,15,POC,Female,39.98871456,-75.16227376
nonlethal,55,POC,Male,39.98871456,-75.16227376
nonlethal,45,White,Male,39.98871456,-75.16227376
lethal,20,White,Male,39.98795196,-75.14885141
nonlethal,25,POC,Male,39.99056748,-75.15317925
lethal,15,POC,Male,39.9935082,-75.17159604
nonlethal,55,POC,Male,39.98795464,-75.16923918
nonlethal,25,POC,Male,39.97457494,-75.18346964
nonlethal,30,POC,Male,39.98442293,-75.17820157
nonlethal,30,POC,Male,39.98993892,-75.1844072
nonlethal,30,POC,Male,39.97795648,-75.16301711
nonlethal,25,POC,Male,39.99384275,-75.1866149
nonlethal,18,POC,Male,39.98936513,-75.16664439
lethal,25,POC,Male,39.98270869,-75.18008191
nonlethal,30,POC,Male,39.97888762,-75.16284075
nonlethal,35,POC,Male,39.98582141,-75.15250303
lethal,30,POC,Male,39.99596719,-75.1827104
nonlethal,55,POC,Female,39.98871456,-75.16227376
nonlethal,45,POC,Male,39.99085371,-75.16697659
nonlethal,30,POC,Male,39.99085371,-75.16697659
nonlethal,45,POC,Male,39.99188344,-75.17495333
lethal,30,POC,Male,39.98310346,-75.18496053
nonlethal,30,POC,Male,39.98132251,-75.17238808
nonlethal,25,POC,Female,39.99264151,-75.18017113
nonlethal,18,POC,Male,39.97484577,-75.17213576
lethal,18,POC,Male,39.99128797,-75.17346624
nonlethal,25,POC,Male,39.98920273,-75.16818477
lethal,18,POC,Male,39.9938287,-75.17178415
lethal,45,POC,Male,39.98271482,-75.17862718
lethal,35,POC,Male,39.99249682,-75.18289919
nonlethal,45,POC,Male,39.99249682,-75.18289919
nonlethal,20,POC,Male,39.98957491,-75.18199302
nonlethal,20,POC,Male,39.98957491,-75.18199302
nonlethal,18,POC,Male,39.98957491,-75.18199302
nonlethal,45,POC,Male,39.97796638,-75.16465784
nonlethal,45,POC,Male,39.97796638,-75.16465784
nonlethal,30,POC,Male,39.99778456,-75.12768547
lethal,30,POC,Male,39.99520377,-75.11237543
nonlethal,25,POC,Male,39.97775045,-75.18389757
lethal,45,White,Male,39.98268296,-75.1751961
lethal,30,POC,Male,39.97601014,-75.17085454
nonlethal,25,POC,Male,39.98977481,-75.12110532
lethal,30,POC,Male,39.98308513,-75.18488193
nonlethal,35,POC,Male,39.99091133,-75.17354593
nonlethal,35,POC,Male,39.98748965,-75.15258381
nonlethal,30,POC,Male,39.98709417,-75.18313326
nonlethal,35,White,Male,39.9936297,-75.17868011
lethal,25,POC,Male,39.99134861,-75.11151743
lethal,30,POC,Male,39.99141026,-75.1113748
lethal,20,POC,Male,39.99647784,-75.11335593
nonlethal,25,POC,Male,39.99018602,-75.1619864
nonlethal,20,POC,Male,39.99484401,-75.1863183
lethal,45,POC,Male,39.9925095,-75.18128212
nonlethal,20,POC,Male,39.9925095,-75.18128212
nonlethal,30,POC,Male,39.98672321,-75.16944966
nonlethal,18,POC,Male,39.98685315,-75.17344477
nonlethal,18,POC,Male,39.97876791,-75.18483153
nonlethal,30,POC,Male,39.99329062,-75.18607696
nonlethal,25,POC,Male,39.98577899,-75.17216555
nonlethal,30,POC,Female,39.97916767,-75.17278513
nonlethal,35,POC,Male,39.99565652,-75.18059144
nonlethal,18,POC,Male,39.99565652,-75.18059144
nonlethal,35,POC,Male,39.99565652,-75.18059144
lethal,15,POC,Male,39.98650684,-75.17017996
lethal,30,POC,Female,39.97638403,-75.17681138
nonlethal,25,POC,Male,39.97638403,-75.17681138
nonlethal,25,POC,Male,39.97638403,-75.17681138
